context_id,question
-4218180940088257775,آیا در کشور ایران برای برداشت از حساب سپرده ارائهٔ یادداشت نیاز است؟
-4218180940088257775,چه کسانی می توانند حساب سپرده داشته باشند؟
-4218180940088257775,سود حساب سپرده گذاری چجوری حساب می شه؟
-4218180940088257775,چه زمانی نرخ سود  حساب سپرده گذاری کم می شود؟
-4218180940088257775,سود حساب سپرده چقدره؟
-4952173445662604970,تهران چندمین شهر از نظر جمعیت در دنیاست؟
-4952173445662604970,به غیر از مسلمان ها پیروان چه دینی در تهران زندگی می کنند؟
-4952173445662604970,بزرگترین شهری که در آن به زبان فارسی صحبت می کنند چیست؟
-4952173445662604970,مردم تهران از چه قومی هستند؟
-4952173445662604970,پرجمعیت ترین شهر خاور میانه چه نام دارد؟
-4952173445662604970,شهردار تهران چگونه انتخاب می شود؟
-4952173445662604970,چه کسی قانون گذار شهر تهران است؟
7135514409045060078,دکترا بعد از کدام دوره دانشگاهی است؟
7135514409045060078,بالاترین سطح مدارک دانشگاهی چیست؟
7135514409045060078,در رشته‌های مهندسی مدت دوره دکترا چند سال است؟
7135514409045060078,کلمه دکترا یعنی چی؟
7135514409045060078,کدام رشته ها در مقطع دکترا ۴ تا ۶ سال تحصیل می کنند؟
7135514409045060078, پذیرش در دوره دکتری در ایران چگونه انجام می شود؟
7135514409045060078,آزمون دکتری تخصصی را چه نهاد های برگزار می کنند؟
-2203712361880693506,چه کسی تخت جمشید رو نابود کرد؟
-2203712361880693506,تخت جمشید مربوط به کدام دوره تاریخی ایران است؟
-2203712361880693506,بعد از داریوش بزرگ چه کسانی پرسپولیس را توسعه دادند؟
-2203712361880693506,تخت جمشید کجاست؟
-2203712361880693506,در سال ۵۱۸ پایتخت ایران کجا بود؟
-2203712361880693506,چند وقت در تخت جمشید مردم زندگی می کردند؟
-2203712361880693506,چند نفر در تخت جمشید زندگی می کردند؟
-101930381532710136,هری فرانکفورت در چه زمینه ای فعالیت می کند؟
-101930381532710136,اسم مقاله مشهور فرانکفورت چیه؟
-101930381532710136,چه سالی کتاب در باب مزخرف‌گویی به چاپ رسید؟
-101930381532710136,شهرت اصلی فرانکفورت  در بین دیگر فلاسفه برای چیست؟
-101930381532710136,اسم دومین کتاب فرانکفورت چیه؟
-101930381532710136,هری فرانکفورت در کدام کشور متولد شده؟
-101930381532710136,کتاب دوم هری فرانکفورت راجبه چیه؟
-4920205260709496301,به چه ماده ای کاغذ گفته می شود؟
-4920205260709496301,کاغذ برای بشر چه اهمیتی دارد؟
-4920205260709496301,استفاده از کاغذ از چه زمانی شروع شد؟
-4920205260709496301,اولین بار چه کسانی از کاغذ استفاده کردند؟
-4920205260709496301,مصری ها از چه درختی کاغذ درست می کردند؟
-4920205260709496301,چه زمانی بشر لوحه‌های گلی را بکار می‌برد؟
-4920205260709496301,کتاب اوستا را بر روی چند پوست نوشته‌اند؟
-2729615341375641001,یونیکس شبیه کدام سیستم عامل است؟
-2729615341375641001,لینوکس قابل استفاده روی چه سخت افزار های است؟
-2729615341375641001,بنیان گذار پروژه گنو کیه؟
-2729615341375641001,چه کسانی توزیع های لینوکس را درست می کنند؟
-2729615341375641001,چه زمانی پروژه گنو شروع شد؟
-2729615341375641001,لینوکس دبیان چند خط کد دارد؟
-2729615341375641001,در سال ۲۰۰۷ کدام نسخه از لینوکس دبیان منتشر شد؟
3875648219842859931,مریم میرزاخانی کجا درس می داد؟
3875648219842859931,چرا مریم میرزاخانی  مدال فیلدز برد؟
3875648219842859931,مهم ترین جایزه در رشته ریاضی چیه؟
3875648219842859931,مریم میرزاخانی متولد کجاست؟
3875648219842859931,مریم میرزاخانی چه جوری وراد دبیرستان فرزانگان شد؟
3875648219842859931,اولین زن های که به تیم المپیاد ریاضی ایران راه پیدا کردن چه کسایی بودن؟
3875648219842859931,اولین شرکت‌کننده از ایران در المپیاد ریاضی که نفر اول شد کی بود؟
-7814715993664016473,شاهمشاهی ساسانی از چه سالی شروع شد؟
-7814715993664016473,موسس شاهنشاهی ساسانی کیست؟
-7814715993664016473,موسس شاهنشاهی ساسانی برای رسیدن به شاهنشاهی چه کسی را شکست داد؟
-7814715993664016473,بعد از هخامنشیان چه کسی دوباره ایران را یکپارچه کرد؟
-7814715993664016473,شاهنشاهی ساسانی برای چند سال جز قدرتمندان جهان باستان بود؟
-7814715993664016473,شاهنشاهی ساسانی پایتخت خود را کجا قرار داده بود؟
-7814715993664016473,آخرین شاهنشاهی ایران قبل از مسلمان شدن ایرانیان چه بود؟
4559405364469031135,کهکشان راه شیری چه رنگی است؟
4559405364469031135,با چشم میشه کهکشان راه شیری رو دید؟
4559405364469031135,شکل هندسی کهکشان راه شیری چگونه است؟
4559405364469031135,کره زمین در کجای کهکشان راه شیری قرار دارد؟
4559405364469031135,تا حالا تونستیم از کهکشان راه شیری عکس بگیریم؟
4559405364469031135,چرا بشر هیچ گونه عکسی از کهکشان راه شیری ندارد؟
4559405364469031135,ساره زمین عضو کدوم منظومهٔ است؟
8212239302909481650,شبه علم به چه معنی است؟
8212239302909481650,به ادّعاها، باورها، یا کارهایی به نادرستی به عنوان علم خود را مطرح می کنند چه می گویند؟
8212239302909481650,چه رشته ای به مطالعه تفاوت های علم و شبه علم می پردازد؟
8212239302909481650,چند نشانه هشدار دهنده برای شبه علم وجود دارد؟
8212239302909481650,مثال های از شبه علم چیست؟
8212239302909481650,بهترین راه برای متمایز کردن علم از شبه علم چیه؟
8212239302909481650,راستی آزمایی علمی یعنی چی؟
-5666818406135989281,اولین بار چه کشوری از فناوری هسته‌ای استفاده کرد؟
-5666818406135989281,فناوری هسته‌ای را تعریف کنید؟
-5666818406135989281,انواع واکنش‌های هسته‌ای کدامند؟
-5666818406135989281,برای اولین بارچه زمانی  دانشمندان توانستند انرژی هسته‌ای تولید کنند؟
-5666818406135989281,مهم ترین کاربرد فناوری هسته‌ای چیه؟
-5666818406135989281,نیروگاه‌های هسته‌ای چه ویژگی مهمی دارند؟
-5666818406135989281,ازسلاح هسته‌ای اولین بار برای چه کاری استفاده شد؟
-5353678852362063060,شهرت پاستای گولاش آمریکایی چیه؟
-5353678852362063060,پاستای گولاش آمریکایی در چه ظرفی پخته میشود؟
-5353678852362063060, پاستای گولاش آمریکایی از چه نسلی است؟
-5353678852362063060,پاستای گولاش آمریکایی چه شباهتی با گولاش مجارستانی دارد؟
-5353678852362063060,ازگوجه فرنگی چه تولیداتی میتوان گرفت؟
-5353678852362063060,مواد اصلی تشکیل دهنده پاستای گولاش آمریکایی چی هستن؟
-5353678852362063060,پاستای گولاش آمریکایی چندتا دستور پخت داره؟
-7270667398928211518,پارچه چیه؟
-7270667398928211518,ایران باستان از چه زمانی پارچه‌بافی آغاز شد؟ 
-7270667398928211518,در چه دوره‌ای پارچه‌ها بهتر از گذشته بافته می‌شد؟
-7270667398928211518,در زمان هخامنشی چه نوع پارچه‌هایی بافته می‌شد؟
-7270667398928211518,صنعت بافندگی در دوره اسلامی چگونه بود؟
-7270667398928211518,دوره شکوفایی هنر را بنویسید.
-7270667398928211518,شاهان هخامنشی به چه چیزی مشهور بودند؟
-5615536815803127561,بستنی چیست؟
-5615536815803127561,معروف ترین دسر در دنیا کدام است؟
-5615536815803127561,نخستین شرکت تولید بستنی کجا بود؟
-5615536815803127561,فالوده از چه موادی تشکیل می شه؟
-5615536815803127561,قدمت بستنی چقدر است؟
-5615536815803127561,بستنی چگونه وارد ایران شد؟
-5615536815803127561,چه نوع بستنی در ایران محبوب است؟
-1015281008803266658,اینرنت کوتاه شده چه عبارتی است؟
-1015281008803266658,بزرگترین سامانه ای که انسان ها طراحی کردن چیه؟
-1015281008803266658,چه کسی نخستین وب سایت را ساخت؟
-1015281008803266658,صفحات وب چجوری به هم وصل می شند؟
-1015281008803266658,وب یعنی جی؟
-1015281008803266658,URL به چه دردی می خورد؟
-1015281008803266658,چند مرورگر وب نام ببرید؟
7797271722775453627,آزمون آلن چیه؟
7797271722775453627,روشی سریع برای فهمیدن میزان خون رادیال در مریض چیست؟
7797271722775453627,مناسب ترین آزمون قبل از  سنجش گاز خونی کدام روش است؟
7797271722775453627,چه جوری تست آلن مثبت می شود؟
7797271722775453627,آزمون آلن را چندبار باید تکرار کرد؟
7797271722775453627,مخترع آزمون آلن که بود؟
7797271722775453627,تست آلن چگونه انجام می شود؟
8323743488005175915,چه کسی تست تورینگ را مطرح کرد؟
8323743488005175915,آزمون تورینگ به چه منظور طراحی شده؟
8323743488005175915,آزمون تورینگ چه جوری انجام می شود؟
8323743488005175915,چه زمانی یک ماشین تست تورینگ را با موفقیت رد می کند؟
8323743488005175915,در آزمون تورینگ مکالمه انسان و ماشین از چه روشی است؟
8323743488005175915,آلن تورینگ چه کسی بود؟
8323743488005175915,اسم دیگر تست تورینگ چیست؟
-6254802690628156826,مقاطع دانشگاهی چه هستند؟
-6254802690628156826,قدیمی ترین دانشگاه جهان در چه سالی فعال بوده است؟
-6254802690628156826,آکادمی افلاطون کجا قرار داشته؟
-6254802690628156826,نظام دانشگاهی نخستین بار کجا شکل گرفت؟
-6254802690628156826,افلاطون در مدرسه خود چه چیزی تدریس می کرد؟
-6254802690628156826,کدام مدرسه در یونان پزشکی درس می داد؟
-6254802690628156826,دانشگاه ماگنورا در حال حاضر کجاست؟
-469215463448198407,کارل پوپر در چه زمینه ای تخصص داشت؟
-469215463448198407,آثار کارل پوپر راجب چه موضوعی است؟
-469215463448198407,پوپر از چه نظریه های دفاع می کند؟
-469215463448198407,اسم اصلی کارل پوپر چیه؟
-469215463448198407,به نظر پوپر چگونه می شود شاهد جامعه باز بود؟
-469215463448198407,پوپر چه جوری  روش علمی مشاهده را رد می کند؟
-469215463448198407,دین والدین کارل پوپر چه بود؟
-5443671555284061054,گوگل چه چیزی است؟
-5443671555284061054,کمپانی گوگل تو چه زمینه های فعالیت می کنه؟
-5443671555284061054,مردان گوگل کیا هستند؟
-5443671555284061054,لری پیج کجا تحصیل کرد؟
-5443671555284061054,به وجود آورنده گوگل چه کسی است؟
-5443671555284061054,بنیانگذاران گوگل قرار شد چقدر با هم کار کنند؟
-5443671555284061054,شعار معروف گوگل چیه؟
-3440074742267683971,هدف رباتیک چیست؟
-3440074742267683971,ربات ها بیشتر در چه جاهایی استفاده می شوند؟
-3440074742267683971,کدام نوع از ربات ها شبیه به انسان ها هستند؟
-3440074742267683971,رباتیک با هدف آموزش در چه حوزه ای بیشتر به کار می رود؟
-3440074742267683971,رباتیک چیست؟
-3440074742267683971,چرا ربات شبیه به انسان ساخته می شود؟
-3440074742267683971,رباتیک از کدام علوم تشکیل شده؟
955878684657938120,گرانش روی کدام اجسام اثر می گذارد؟
955878684657938120,گرانش به چه شکل برای ما تعریف می شود؟
955878684657938120,الکترومغناطیس چیست؟
955878684657938120,جاذبه در چه زمانی رخ می دهد؟
955878684657938120,جاذبه به غیر از زمین در کجا دیده می شود؟
955878684657938120,جاذبه چه نوع نیرویی است؟
955878684657938120,دلیل افتادن جسم بر زمین چیست؟
7378487937459243191,تسلا موتورز علاوه بر خودرو چی تولید می کند؟
7378487937459243191,تسلا موتورز با کدام شرکت ها همکاری می کند؟
7378487937459243191,موسس تسلا موتورز که بود؟
7378487937459243191,اسم تسلا موتورز از کجا آمده؟
7378487937459243191,تسلا رودستر چیست؟
7378487937459243191,تسلا رودستر با هر با شارژ چه مسافتی رو طی می کند؟
7378487937459243191,وجه تمایز خودروهای تسلا موتورز در چیست؟
6653591693233722926,هواپیما چیه؟
6653591693233722926,بالون‌ها برای پرواز با چه چیزی پر می‌شدند؟
6653591693233722926,عیب بالون‌ها چه بود؟
6653591693233722926,بینه برای پرواز چه دستگاهی ساخت؟
6653591693233722926,پرنده رایت ۱ چیست؟
6653591693233722926,کورتیس آمریکایی چگونه اختراع رایت را تکمیل کرد؟
6653591693233722926,عظیم‌ترین هواپیما کدام بود؟
3060767596074873637,کتاب الکترونیک چیه؟
3060767596074873637,کتاب الگترونیک می تواند چه چیزهای را نمایش دهد؟
3060767596074873637, کتابخوان الکترونیک برای چه کاری است؟
3060767596074873637,به جز کتابخوان الکترونیک چگونه می شود کتاب های الکترونیکی را خواند؟
3060767596074873637,چرا افراد کتاب های الکترونیکی را آنلاین می خرند؟
3060767596074873637,کتاب دیجیتالی چیه؟
3060767596074873637, کتابخوان الکتریکی چه چیزی هست؟
-6537069041081717130,مخترع دروغ بزرگ کیه؟
-6537069041081717130,چجوری می شه از تکنیک دورغ بزرگ استفاده کرد؟
-6537069041081717130,قانون اصلی آدولف هیتلر چه بوده؟
-6537069041081717130,چرا سیاست مداران از دروغ بزرگ استفاده می کنند؟
-6537069041081717130,چگونه می شود یک دروغ را به خوبی جا انداخت؟
-6537069041081717130,دروغ بزرگ چیه؟
-6537069041081717130,آدولف هیتلرکجا راجب دورغ بزرگ سخن گفته بود؟
2625462501108826586,اسم نقش اول رمان باشگاه مبارزه چیه؟
2625462501108826586,کارگردان فیلم باشگاه مبارزه که از روی رمانی به همین اسم ساخته شد که بود؟
2625462501108826586,شخصیت اول رمان چه مشکلی دارد؟
2625462501108826586,شخصیت بی نام کی باشگاه را ایجاد می کند؟
2625462501108826586,فرد بی نام چه جوری بی خوابی خودش رو بر طرف می کنه؟
2625462501108826586,چرا شخصیت اصلی دوباره بی خواب می شه؟
2625462501108826586,رمان باشگاه مشت زنی چه دستاوردهای داشت؟
-2121495978807987650,در کودک همسری فرد چه نوع رابطه ای میبندد؟
-2121495978807987650,معنی سن رضایت چیه؟
-2121495978807987650,دلیل گذاشتن سن رضایت در قانون چیست؟
-2121495978807987650,دلایل ازدواج زودهنگام دختران چیست؟
-2121495978807987650,در ازدواج در سنین پایین مرد بیشتر اسیب میبیند یا زن؟
-2121495978807987650,یکی از نمونه های خشونت جنسی چیست؟
-2121495978807987650,نظر مجلس ایران در مورد ازدواج بچه ها چیه؟
2871954269758326633,وضع مالی خانواده چرچیل چگونه بود؟
2871954269758326633,چرچیل در چه تاریخی نظامی شد؟
2871954269758326633,شغل چرچیل قبل از این که وارد مجلس عوام شود چه بود؟
2871954269758326633,چرچیل اولین بار در دولت چه شخصی وزارت کشور را بر عهده گرفت؟
2871954269758326633,چرچیل در نخست وزیری جانشین کی شد؟
2871954269758326633,چرچیل بر کدام عهد نامه نظارت داشت؟
2871954269758326633,در جنگ جهانی اول چرچیل چی کار میکرد؟
2477093876807080493,ساختار پردازنده های آرم مبتنی بر چه است؟
2477093876807080493,پردازنده های آرم به وسیله چه شرکتی راه اندازی شده است؟
2477093876807080493,کاربرد پردازنده های آرم بیشتر چیست؟
2477093876807080493,معماری آرم چه دستورالعمل هایی را پردازش میکند؟
2477093876807080493,از چه دهه ای پردازنده های آرم در حال توسعه و گسترش میباشد؟
2477093876807080493,پردازنده های آرم به چه تعداد ترانزیستور نیازمند است؟
2477093876807080493,تعداد مناسب ترانزیستور های معماری آرم باعث چه چیزی شده است؟
6837657811711389517,مایا ها در کجا زندگی میکنند؟
6837657811711389517,اب و هوای شهرهای مایا چگونه است؟
6837657811711389517,محل زندگی مایا ها شامل کدام کشورهاست؟
6837657811711389517,قوم مایا د رچه زمینه هایی دست اورد داشت؟
6837657811711389517,در حال حاضر کسی از قوم مایا زنده هست؟
6837657811711389517,یکی از تمدن های قبل از مایا کدام است؟
6837657811711389517,زندی مایاها چه دوران هایی داشت؟
8717674377724557552,اسپیس اکس چه چیزی می سازد؟
8717674377724557552,در چه زمانی ناسا برای اولین بار برای ارسال فضانوردان با یک شرکت خصوصی همکاری کرد؟
8717674377724557552,کدام فضانوردان در سری دوم ماموریت اسپیس اکس و ناسا شرکت کردند؟
8717674377724557552,اولین فضاپیمای خصوصی فضانوردان آمریکایی کدام بود؟
8717674377724557552,اسپیس اکس با کدام نهاد همکاری می کند؟
8717674377724557552,اسپیس اکس در چه سالی و در کجا تاسیس شد؟
8717674377724557552,کدام شرکت خصوصی در تامین نیازهای ایستگاه فضایی بین المللی نقش دارد؟
3562033828331671626,تلویزیون چیه؟
3562033828331671626,پاول نیپکو مخترع چه نوع تلویزیونی بود؟
3562033828331671626,صفحه نیپکو چگونه کار می‌کرد؟
3562033828331671626,صدا و سیما چیست؟
3562033828331671626,چه تجهیزاتی برای کار با تلویزیون لازم است؟
3562033828331671626,در تلویزیون رنگی مکانیکی تصویر چگونه ایجاد می‌شود؟
3562033828331671626,ارجحیت تلویزیون را بنویسید. چرا؟
1169820361471332081,برنامه ریختن به چه معنی است؟
1169820361471332081,اصلی ترین کار برای رسیدن به هدف چیه؟
1169820361471332081,انواع برنامه برای رسیدن به هدف چیه؟
1169820361471332081,چه گونه می شود فرصت های پنهان را بهتر پیدا کرد؟
1169820361471332081,مزایای برنامه ریزی در کسب و کار چیست؟
1169820361471332081,مهم ترین بخش مدیریت چیه؟
1169820361471332081,۶ سوال اصلی در فرایند برنامه ریزی چیا هستن؟
8148693613566460124,IQ یعنی چی؟
8148693613566460124,متوسط بهره هوشی چقدر است؟
8148693613566460124,چجوری می شه IQ رو اندازه گرفت؟
8148693613566460124,رایج ترین روش در ایران برای اندازه گیری بهره هوشی چیه؟
8148693613566460124,ابداع کننده روش رایج در ایران برای تست بهره هوشی چه کسی بود؟
8148693613566460124,چرا برای تست بهره هوشی تعداد زیادی آزمون وجود دارد؟
8148693613566460124,چند درصد افراد بهره هوشی در سطح نخبه دارند؟
1513278693952990799,انسان چه نوع موجودیه؟
1513278693952990799,چگونه متوجه شدند که انسان خردمند در آفریقا به وجود آمده؟
1513278693952990799,در علم به آدم چی می گن؟
1513278693952990799,چه زمانی انسان ها مهاجرت کردند؟
1513278693952990799,جمعیت کره زمین در چه وضعیتی است؟
1513278693952990799,چه زمانی بچه انسان از بدن زن بیرون میاد؟
1513278693952990799,چرخه زندگی انسان چگونه ادامه دارد؟
-5902727464329231210,حداقل حقوق یعنی چی؟
-5902727464329231210,استدلال موافقان قانون حداقل دست مزد چیه؟
-5902727464329231210,چرا برخی با قوانین کمترین دستمزد مخالف اند؟
-5902727464329231210,نظر متخصصان راجب قانون کمترین دستمزد چیه؟
-5902727464329231210,حداقل حقوق چه تاثیری روی فقر دارد؟
-5902727464329231210,چرا قانون حداقل دستمزد به کارگران کم بازده تر آسیب می زند؟
-5902727464329231210,قانون کمترین دستمزد به کدام شرکت ها آسیب بیشتری می رساند؟
1786845598815575638,توزیع درآمد چیه؟
1786845598815575638,چه چیزی باعث می شود توزیع در آمد درست نباشد؟
1786845598815575638,عوامل تولید باید بین چه کسانی تقسیم شود؟
1786845598815575638,چرا بعضی ها فکر می کنند توزیع درامد جلوی رشد اقتصادی را می گیرد؟
1786845598815575638,یکی از دلایل رشد اقتصادی چیه؟
1786845598815575638,فقرا پس از توزیع برابر در آمد چه رفتاری می کنند؟
1786845598815575638,در کشور های ضعیف تر ثروتمندان با اضافه درآمد خود چه می کنند؟
-4307550159461676442,اولین ارز دیجیتال غیر متمرکز کدام است؟
-4307550159461676442,چگونه می توان بیت کوین گرفت؟
-4307550159461676442,تراکنش های بیت کوین از چه طریقی ثبت می شوند؟
-4307550159461676442,امینت بیت کوین با چه روشی تامین می شود؟
-4307550159461676442,بیت کوین چه نوع شبکه ای را بوجود آورده؟
-4307550159461676442,شبکه بیت کوین متعلق به چه کسی است؟
-4307550159461676442,بیت کوین شبیه چیست؟
3560794736916831872,هم حسی چه نوع فرایندی است
3560794736916831872,اگر فردی با شنیدن یک کلمهٔ خاص، احساس لمس در یک بخش از بدن خود کند، این فرد به چه نوعی از هم حسی مبتلا است؟
3560794736916831872,یک مثال برای وجود شباهت بین حرف و رنگ دیده شده در افراد مختلف مبتلا به هم حسی حرف-رنگ بزنید.
3560794736916831872,هم حسی دنبالهٔ فضایی چیست؟
3560794736916831872,رایج ترین نوع هم حسی کدام است؟
3560794736916831872,کدام نوع از هم حسی احتمالاً با استعداد در موسیقی مرتبط است؟
3560794736916831872,علت بروز هم حسی آینه ای-لامسه ای به کدام بخش از مغز مربوط می شود؟
-575245456194226059,چه چیزی در آسمان ها وجود دارد؟
-575245456194226059,کدام رشته ها نجوم را کامل می کنند؟
-575245456194226059,نجوم به چه چیزی می پردازد؟
-575245456194226059,در کدام نوع اخترشناسی داده ها جمع آوری و محاسبه می شوند؟
-575245456194226059,در کدام نوع اخترشناسی نتایج بررسی و تحلیل می شوند؟
-575245456194226059,چه چیزی در رشته نجوم تحولی بزرگ  بوجود آورد؟
-575245456194226059,شفق قطبی و تابش کیهانی چیستند؟
6759816039360941711,چرم چیه؟
6759816039360941711,چرم چگونه تهیه می‌شود؟
6759816039360941711,تفاوت صنعت چرم و خز چگونه مشخص می شود؟
6759816039360941711,کاربردهای دیگر پوست‌های خام را بنویسید؟
6759816039360941711,روش‌های تولید چرم کدامند؟
